CNPJ, RazaoSocial, Trimestre, Ano, ValorDespesas
39419809000198, PASA - PLANO DE ASSISTENCIA A SAUDE DO APOSENTADO DA VALE, 2º Trimestre, 2025, 224558121.04
39419809000198, PASA - PLANO DE ASSISTENCIA A SAUDE DO APOSENTADO DA VALE, 3º Trimestre, 2025, 349593734.78
07241136000132, UNIMED TERESINA - COOPERATIVA DE TRABALHO MÉDICO, 1º Trimestre, 2025, 78570113.76
07241136000132, UNIMED TERESINA - COOPERATIVA DE TRABALHO MÉDICO, 2º Trimestre, 2025, 166147873.85
07241136000132, UNIMED TERESINA - COOPERATIVA DE TRABALHO MÉDICO, 3º Trimestre, 2025, 257432999.46
82956996000178, FUNDAÇÃO CELESC DE SEGURIDADE SOCIAL - CELOS, 1º Trimestre, 2025, 13438843.35
82956996000178, FUNDAÇÃO CELESC DE SEGURIDADE SOCIAL - CELOS, 2º Trimestre, 2025, 33889248.56
82956996000178, FUNDAÇÃO CELESC DE SEGURIDADE SOCIAL - CELOS, 3º Trimestre, 2025, 55509000.5
95642179000197, HUMANA SAÚDE LTDA, 1º Trimestre, 2025, 47655474.21
95642179000197, HUMANA SAÚDE LTDA, 2º Trimestre, 2025, 95124527.69
95642179000197, HUMANA SAÚDE LTDA, 3º Trimestre, 2025, 141668808.11
02903477000102, ASSOCIAÇÃO SAÚDE CONCEIÇÃO, 1º Trimestre, 2025, 4549292.53
02903477000102, ASSOCIAÇÃO SAÚDE CONCEIÇÃO, 2º Trimestre, 2025, 10354535.85
02903477000102, ASSOCIAÇÃO SAÚDE CONCEIÇÃO, 3º Trimestre, 2025, 16415799.07
37898335000189, UNIMED DE MINEIROS COOPERATIVA DE TRABALHO MÉDICO, 1º Trimestre, 2025, 7104338.74
37898335000189, UNIMED DE MINEIROS COOPERATIVA DE TRABALHO MÉDICO, 2º Trimestre, 2025, 14941353.42
37898335000189, UNIMED DE MINEIROS COOPERATIVA DE TRABALHO MÉDICO, 3º Trimestre, 2025, 23128651.46
43079723000130, TOTAL ASSISTÊNCIA MÉDICA HOSPITALAR LTDA, 1º Trimestre, 2025, 352588.78
43079723000130, TOTAL ASSISTÊNCIA MÉDICA HOSPITALAR LTDA, 2º Trimestre, 2025, 1487295.96
43079723000130, TOTAL ASSISTÊNCIA MÉDICA HOSPITALAR LTDA, 3º Trimestre, 2025, 1487295.96
28310835000167, MEDHEALTH PLANOS DE SAÚDE LTDA, 1º Trimestre, 2025, 1461162.9
10395358000114, UNIMED DO CEARÁ - FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS MÉDICAS DO ESTADO DO CEARÁ LTDA, 1º Trimestre, 2025, 21168029.96
10395358000114, UNIMED DO CEARÁ - FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS MÉDICAS DO ESTADO DO CEARÁ LTDA, 2º Trimestre, 2025, 44774299.24
10395358000114, UNIMED DO CEARÁ - FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS MÉDICAS DO ESTADO DO CEARÁ LTDA, 3º Trimestre, 2025, 70468697.12
16926969000128, AMAZÔNIA PLANOS DE SAÚDE LTDA, 1º Trimestre, 2025, 13529465.94
16926969000128, AMAZÔNIA PLANOS DE SAÚDE LTDA, 2º Trimestre, 2025, 26814999.07
16926969000128, AMAZÔNIA PLANOS DE SAÚDE LTDA, 3º Trimestre, 2025, 43331138.35
22720791000167, UNIMED INCONFIDENTES COOPERATIVA DE TRABALHO MÉDICO LTDA, 1º Trimestre, 2025, 13058042.38
22720791000167, UNIMED INCONFIDENTES COOPERATIVA DE TRABALHO MÉDICO LTDA, 2º Trimestre, 2025, 26482431.87
22720791000167, UNIMED INCONFIDENTES COOPERATIVA DE TRABALHO MÉDICO LTDA, 3º Trimestre, 2025, 40059366.58
81076069000109, UNIMED DE PARANAVAÍ COOPERATIVA DE TRABALHO MÉDICO, 1º Trimestre, 2025, 6748093.47
81076069000109, UNIMED DE PARANAVAÍ COOPERATIVA DE TRABALHO MÉDICO, 2º Trimestre, 2025, 13073455.95
81076069000109, UNIMED DE PARANAVAÍ COOPERATIVA DE TRABALHO MÉDICO, 3º Trimestre, 2025, 19462217.06
01012474000116, UNIMED PONTE NOVA COOPERATIVA DE TRABALHO MEDICO LTDA, 1º Trimestre, 2025, 1177173.76
01012474000116, UNIMED PONTE NOVA COOPERATIVA DE TRABALHO MEDICO LTDA, 2º Trimestre, 2025, 3301573.1
01012474000116, UNIMED PONTE NOVA COOPERATIVA DE TRABALHO MEDICO LTDA, 3º Trimestre, 2025, 4941722.11
03637776000105, FILOSANITAS SAUDE LTDA, 1º Trimestre, 2025, 3067321.23
03637776000105, FILOSANITAS SAUDE LTDA, 2º Trimestre, 2025, 6754687.97
03637776000105, FILOSANITAS SAUDE LTDA, 3º Trimestre, 2025, 10836714.85
41905498000119, UNIMED NOROESTE DE MINAS COOPERATIVA DE TRABALHO MEDICO LTDA, 1º Trimestre, 2025, 5320074.25
41905498000119, UNIMED NOROESTE DE MINAS COOPERATIVA DE TRABALHO MEDICO LTDA, 2º Trimestre, 2025, 10009099.35
41905498000119, UNIMED NOROESTE DE MINAS COOPERATIVA DE TRABALHO MEDICO LTDA, 3º Trimestre, 2025, 14405741.87
01647867000104, UNIMED INTRAFEDERATIVA FEDERAÇÃO REGIONAL SUL DE MINAS, 1º Trimestre, 2025, 0.0
01647867000104, UNIMED INTRAFEDERATIVA FEDERAÇÃO REGIONAL SUL DE MINAS, 2º Trimestre, 2025, 6.6
01647867000104, UNIMED INTRAFEDERATIVA FEDERAÇÃO REGIONAL SUL DE MINAS, 3º Trimestre, 2025, 56.6
11076382000153, UNIX SAÚDE S.A, 1º Trimestre, 2025, 3433428.01
11076382000153, UNIX SAÚDE S.A, 2º Trimestre, 2025, 7545303.69
11076382000153, UNIX SAÚDE S.A, 3º Trimestre, 2025, 11728946.9
01685053000156, SUL AMERICA COMPANHIA DE SEGURO SAÚDE, 1º Trimestre, 2025, 2717487116.25
01685053000156, SUL AMERICA COMPANHIA DE SEGURO SAÚDE, 2º Trimestre, 2025, 5626602102.52
01685053000156, SUL AMERICA COMPANHIA DE SEGURO SAÚDE, 3º Trimestre, 2025, 8732107483.47
50368034000101, UNIMED DE AVARÉ COOPERATIVA DE TRABALHO MÉDICO, 1º Trimestre, 2025, 5150745.38
50368034000101, UNIMED DE AVARÉ COOPERATIVA DE TRABALHO MÉDICO, 2º Trimestre, 2025, 12049370.27
50368034000101, UNIMED DE AVARÉ COOPERATIVA DE TRABALHO MÉDICO, 3º Trimestre, 2025, 19974089.12
62511019000150, ALVORECER - ASSOCIAÇÃO DE SOCORROS MÚTUOS, 1º Trimestre, 2025, 76321258.29
62511019000150, ALVORECER - ASSOCIAÇÃO DE SOCORROS MÚTUOS, 2º Trimestre, 2025, 153490255.53
62511019000150, ALVORECER - ASSOCIAÇÃO DE SOCORROS MÚTUOS, 3º Trimestre, 2025, 228901628.75
00580481000151, FUNDACAO CAPITAL PREVIDENCIA E SAUDE - CAPITAL PREV, 2º Trimestre, 2025, 12455231.82
00580481000151, FUNDACAO CAPITAL PREVIDENCIA E SAUDE - CAPITAL PREV, 3º Trimestre, 2025, 24271137.99
11828089000103, LUMINAR SAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE, 1º Trimestre, 2025, 20496789.39
11828089000103, LUMINAR SAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE, 2º Trimestre, 2025, 35457098.86
11828089000103, LUMINAR SAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE, 3º Trimestre, 2025, 58641047.52
49792664000120, SUL DO PARÁ LTDA, 1º Trimestre, 2025, 4252294.26
49792664000120, SUL DO PARÁ LTDA, 2º Trimestre, 2025, 8381013.23
49792664000120, SUL DO PARÁ LTDA, 3º Trimestre, 2025, 6089730.23
88938089000182, UNIODONTO PORTO ALEGRE COOPERATIVA ODONTOLOGICA LTDA, 1º Trimestre, 2025, 3927253.68
88938089000182, UNIODONTO PORTO ALEGRE COOPERATIVA ODONTOLOGICA LTDA, 2º Trimestre, 2025, 9058208.72
88938089000182, UNIODONTO PORTO ALEGRE COOPERATIVA ODONTOLOGICA LTDA, 3º Trimestre, 2025, 15850191.2
25064148000110, COOPERATIVA DE TRABALHO MEDICO DE ARAGUAÍNA - UNIMED ARAGUAÍNA, 1º Trimestre, 2025, 8251837.75
25064148000110, COOPERATIVA DE TRABALHO MEDICO DE ARAGUAÍNA - UNIMED ARAGUAÍNA, 2º Trimestre, 2025, 16798093.7
25064148000110, COOPERATIVA DE TRABALHO MEDICO DE ARAGUAÍNA - UNIMED ARAGUAÍNA, 3º Trimestre, 2025, 25799219.29
82353079000107, PARANA ASSISTENCIA MEDICA LTDA, 1º Trimestre, 2025, 12377448.3
82353079000107, PARANA ASSISTENCIA MEDICA LTDA, 2º Trimestre, 2025, 26024060.77
82353079000107, PARANA ASSISTENCIA MEDICA LTDA, 3º Trimestre, 2025, 35954233.11
35436658000125, DENTAL CENTER LTDA, 1º Trimestre, 2025, 1080645.17
35436658000125, DENTAL CENTER LTDA, 2º Trimestre, 2025, 2267065.13
35436658000125, DENTAL CENTER LTDA, 3º Trimestre, 2025, 3430836.64
03424929000136, SAUDE PAS - MEDICINA E ODONTO, 1º Trimestre, 2025, 41648166.19
03424929000136, SAUDE PAS - MEDICINA E ODONTO, 2º Trimestre, 2025, 83873799.83
03424929000136, SAUDE PAS - MEDICINA E ODONTO, 3º Trimestre, 2025, 130534387.28
39427632000171, ASSOCIAÇÃO PETROBRAS DE SAÚDE - APS, 1º Trimestre, 2025, 4021612.84
39427632000171, ASSOCIAÇÃO PETROBRAS DE SAÚDE - APS, 2º Trimestre, 2025, 13194985.5
39427632000171, ASSOCIAÇÃO PETROBRAS DE SAÚDE - APS, 3º Trimestre, 2025, 18105317.07
02030246000131, ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA A SAÚDE DOS JUÍZES DO TRABALHO DA 15ª REGIÃO (ABAS 15), 1º Trimestre, 2025, 22102608.05
02030246000131, ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA A SAÚDE DOS JUÍZES DO TRABALHO DA 15ª REGIÃO (ABAS 15), 2º Trimestre, 2025, 45034175.97
02030246000131, ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA A SAÚDE DOS JUÍZES DO TRABALHO DA 15ª REGIÃO (ABAS 15), 3º Trimestre, 2025, 70464051.3
29640612000120, CONFERÊNCIA SÃO JOSÉ DO AVAÍ, 1º Trimestre, 2025, 5416356.83
29640612000120, CONFERÊNCIA SÃO JOSÉ DO AVAÍ, 2º Trimestre, 2025, 11959613.31
29640612000120, CONFERÊNCIA SÃO JOSÉ DO AVAÍ, 3º Trimestre, 2025, 18728584.32
78420783000150, UNIMED OESTE DO PARANA - COOPERATIVA DE TRABALHO MEDICO, 1º Trimestre, 2025, 10648057.86
78420783000150, UNIMED OESTE DO PARANA - COOPERATIVA DE TRABALHO MEDICO, 2º Trimestre, 2025, 21676458.83
78420783000150, UNIMED OESTE DO PARANA - COOPERATIVA DE TRABALHO MEDICO, 3º Trimestre, 2025, 33282518.3
49320799000192, ECONOMUS INSTITUTO DE SEGURIDADE SOCIAL, 1º Trimestre, 2025, 6100436.37
49320799000192, ECONOMUS INSTITUTO DE SEGURIDADE SOCIAL, 2º Trimestre, 2025, 18161633.78
49320799000192, ECONOMUS INSTITUTO DE SEGURIDADE SOCIAL, 3º Trimestre, 2025, 32432587.04
11593821000103, ELOSAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE, 1º Trimestre, 2025, 7071862.27
11593821000103, ELOSAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE, 2º Trimestre, 2025, 13752006.79
11593821000103, ELOSAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE, 3º Trimestre, 2025, 20818651.69
00552181000169, UNIMED DE MOCOCA COOPERATIVA DE TRAB. MÉDICO, 1º Trimestre, 2025, 7241498.18
00552181000169, UNIMED DE MOCOCA COOPERATIVA DE TRAB. MÉDICO, 2º Trimestre, 2025, 14881201.27
00552181000169, UNIMED DE MOCOCA COOPERATIVA DE TRAB. MÉDICO, 3º Trimestre, 2025, 23305770.57
03849449000117, ASSOCIAÇÃO ASSISTENCIAL DE SAÚDE SUPLEMENTAR CRUZ AZUL SAÚDE, 1º Trimestre, 2025, 56013890.47
03849449000117, ASSOCIAÇÃO ASSISTENCIAL DE SAÚDE SUPLEMENTAR CRUZ AZUL SAÚDE, 2º Trimestre, 2025, 106566384.13
03849449000117, ASSOCIAÇÃO ASSISTENCIAL DE SAÚDE SUPLEMENTAR CRUZ AZUL SAÚDE, 3º Trimestre, 2025, 146530084.95
62465117000106, FUNDAÇÃO CESP, 1º Trimestre, 2025, 296417979.96
62465117000106, FUNDAÇÃO CESP, 2º Trimestre, 2025, 652795912.52
62465117000106, FUNDAÇÃO CESP, 3º Trimestre, 2025, 1013448179
88258884000120, UNIMED VALE DO SINOS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA, 1º Trimestre, 2025, 21715475.61
88258884000120, UNIMED VALE DO SINOS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA, 2º Trimestre, 2025, 47464314.2
88258884000120, UNIMED VALE DO SINOS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA, 3º Trimestre, 2025, 75663841.95
31596055000130, BRASIL ODONTO OPERADORA DE PLANOS ODONTOLÓGICOS LTDA, 1º Trimestre, 2025, 228946.14
31596055000130, BRASIL ODONTO OPERADORA DE PLANOS ODONTOLÓGICOS LTDA, 2º Trimestre, 2025, 416773.42
31596055000130, BRASIL ODONTO OPERADORA DE PLANOS ODONTOLÓGICOS LTDA, 3º Trimestre, 2025, 611619.34
71499792000139, UNIMED VERTENTE DO CAPARAÓ - COOPERATIVA DE TRABALHO MÉDICO LTDA, 1º Trimestre, 2025, 5524905.68
71499792000139, UNIMED VERTENTE DO CAPARAÓ - COOPERATIVA DE TRABALHO MÉDICO LTDA, 2º Trimestre, 2025, 10566569.64
71499792000139, UNIMED VERTENTE DO CAPARAÓ - COOPERATIVA DE TRABALHO MÉDICO LTDA, 3º Trimestre, 2025, 16708168.9
18321477000134, ASSOCIAÇÃO SANTA CASA SAÚDE DE SÃO JOSÉ DOS CAMPOS, 1º Trimestre, 2025, 118070924.29
18321477000134, ASSOCIAÇÃO SANTA CASA SAÚDE DE SÃO JOSÉ DOS CAMPOS, 2º Trimestre, 2025, 237934895.63
18321477000134, ASSOCIAÇÃO SANTA CASA SAÚDE DE SÃO JOSÉ DOS CAMPOS, 3º Trimestre, 2025, 369857953.56
34673588000166, BIT LIFE BENEFÍCIOS LTDA, 1º Trimestre, 2025, 0.0
34673588000166, BIT LIFE BENEFÍCIOS LTDA, 2º Trimestre, 2025, 0.0
34673588000166, BIT LIFE BENEFÍCIOS LTDA, 3º Trimestre, 2025, 0.0
03044492000105, HOSPITAL S.P. LTDA, 1º Trimestre, 2025, 2622613.18
03044492000105, HOSPITAL S.P. LTDA, 2º Trimestre, 2025, 4796850.17
03044492000105, HOSPITAL S.P. LTDA, 3º Trimestre, 2025, 7233566.27
72783970000111, UNIMED DE JABOTICABAL COOP. DE TRABALHO MÉDICO, 1º Trimestre, 2025, 9511424.28
72783970000111, UNIMED DE JABOTICABAL COOP. DE TRABALHO MÉDICO, 2º Trimestre, 2025, 18627704.75
72783970000111, UNIMED DE JABOTICABAL COOP. DE TRABALHO MÉDICO, 3º Trimestre, 2025, 29172690.1
02322043000119, UNIMED REGIONAL JAU - COOPERATIVA DE TRABALHO MÉDICO, 1º Trimestre, 2025, 12670825.96
02322043000119, UNIMED REGIONAL JAU - COOPERATIVA DE TRABALHO MÉDICO, 2º Trimestre, 2025, 25370564.58
02322043000119, UNIMED REGIONAL JAU - COOPERATIVA DE TRABALHO MÉDICO, 3º Trimestre, 2025, 38298449
17897995000138, PLADISA PLANOS DE SAÚDE SA, 1º Trimestre, 2025, 13694902.53
17897995000138, PLADISA PLANOS DE SAÚDE SA, 2º Trimestre, 2025, 26468416.73
17897995000138, PLADISA PLANOS DE SAÚDE SA, 3º Trimestre, 2025, 41791902.49
42940528000190, UNIMED PARÁ DE MINAS COOPERATIVA DE TRABALHO MÉDICO LTDA, 1º Trimestre, 2025, 4226202.54
42940528000190, UNIMED PARÁ DE MINAS COOPERATIVA DE TRABALHO MÉDICO LTDA, 2º Trimestre, 2025, 8366245.04
42940528000190, UNIMED PARÁ DE MINAS COOPERATIVA DE TRABALHO MÉDICO LTDA, 3º Trimestre, 2025, 12701396.14
66916305000156, UNIMED SUDOESTE PAULISTA COOPERATIVA DE TRABALHO MÉDICO, 1º Trimestre, 2025, 4625649.26
